epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc
1,0.33953591639164177,0.8345836830030541,0.5705449682380475,0.5489749430523918,0.8690785384125183,0.9533692740114668
2,0.26009486441786017,0.8116099709530354,0.7235038448679372,0.6184510250569476,0.9580605183431717,0.9594712902440148
3,0.2470679596709153,0.8086174044902341,0.7617853560682046,0.6503416856492027,0.9672168181799382,0.9638947583219784
4,0.2374742237999861,0.8855955242296014,0.7851889000334337,0.591116173120729,0.9728750499799856,0.9661196574445257
5,0.23452170741713513,0.8723574521058242,0.7947174857907054,0.6013667425968109,0.9738036130010448,0.9663302987815716
6,0.2023842619618059,0.6657825817008225,0.8831494483450351,0.7927107061503417,0.9887350673440135,0.9941612854387594
7,0.1788685696802981,0.6867704477016909,0.9445001671681712,0.8462414578587699,0.9946000936052334,0.9949906857033775
8,0.16888267719518457,0.5543505712359261,0.9608826479438315,0.9510250569476082,0.9967159921757919,0.9965244179387429
9,0.16427254246872272,0.543068960342972,0.9658976930792377,0.9624145785876993,0.997337716928787,0.998044985090543
10,0.16301931741244816,0.5389767021687536,0.9735874289535272,0.9681093394077449,0.9971676983474663,0.9970576038231402
11,0.16068088575395523,0.5730658356855561,0.9755934470076897,0.9407744874715261,0.9984487061988372,0.9965968258983524
12,0.15757149466899117,0.5692645714603415,0.9797726512871949,0.9476082004555809,0.9989555202998943,0.9960175622214762
13,0.15985570202819163,0.5539294693084404,0.9770979605483116,0.9612756264236902,0.9977263787350014,0.9962347861003047
14,0.155208021800919,0.5979733069285174,0.9836175192243397,0.9350797266514806,0.999389453325987,0.9956028620891672
15,0.1538944015262598,0.5777361512455691,0.9851220327649616,0.9441913439635535,0.9995007869926508,0.9941020425627152
16,0.15196480955997066,0.5321868108182399,0.9882982280173855,0.979498861047836,0.999672929408978,0.9975973722493203
17,0.15172375985229744,0.5516076908024677,0.9896355733868272,0.9624145785876993,0.9995707617670798,0.9957937558008649
18,0.15196739233325293,0.541644616659247,0.9891340688732865,0.9738041002277904,0.9993809579859605,0.9968601275696598
19,0.14989237077795753,0.5421710719008652,0.9914744232698094,0.9738041002277904,0.9996611924260467,0.9924893198259577
20,0.14814424498828108,0.5469459747399176,0.9946506185222334,0.969248291571754,0.9998549085348097,0.996833797402529
21,0.14733569245799175,0.5597608515776371,0.9958207957204949,0.9658314350797267,0.999917282215531,0.9953658905849906
22,0.14802455850785012,0.5459753934777679,0.9953192912069542,0.969248291571754,0.999845295386885,0.9958924939276053
23,0.147099865236158,0.5499294355409835,0.9953192912069542,0.9681093394077449,0.9999376263192788,0.9922062705293022
24,0.14625184576234782,0.5359373497256928,0.9974924774322969,0.9817767653758542,0.9999419857700819,0.9927328738719169
25,0.14642710402353837,0.545569880676704,0.9974924774322969,0.9738041002277904,0.9999674717901615,0.9956950176741247
26,0.14718384688034458,0.5444400996173433,0.9976596456034771,0.9726651480637813,0.9999694838443783,0.9970773514484883
27,0.14601514860364914,0.5454425716726004,0.9983283182881979,0.9726651480637813,0.9998456307292545,0.9963532718523931
28,0.146464098081745,0.5401709869945239,0.9983283182881979,0.9783599088838268,0.9999797676770421,0.994562820487503
29,0.1453812430431834,0.5384062418633551,0.9984954864593781,0.9783599088838268,0.9999556230264404,0.9939045663092346
30,0.1456268167653159,0.5399241242430476,0.9986626546305584,0.9783599088838268,0.9999754082262389,0.9940493822284537
