Threshold,FPR,TPR
inf,0.0,0.0
1.0,0.0,0.00625
0.9999997615814209,0.0,0.05
0.9999996423721313,0.0,0.0671875
0.9999995231628418,0.0,0.090625
0.9999994039535522,0.0,0.0984375
0.9999992847442627,0.0,0.1125
0.9999991655349731,0.0,0.1234375
0.9999990463256836,0.0,0.128125
0.999998927116394,0.0,0.1390625
0.9999984502792358,0.0,0.1703125
0.9999982118606567,0.0,0.1796875
0.9999980926513672,0.0,0.1890625
0.9999978542327881,0.0,0.1953125
0.9999977350234985,0.0,0.2
0.999997615814209,0.0,0.2109375
0.9999974966049194,0.0,0.2171875
0.9999973773956299,0.0,0.21875
0.9999972581863403,0.0,0.2265625
0.9999970197677612,0.0,0.2328125
0.9999969005584717,0.0,0.240625
0.999996542930603,0.0,0.25
0.9999961853027344,0.0,0.259375
0.9999960660934448,0.0,0.265625
0.9999953508377075,0.0,0.29375
0.999995231628418,0.0,0.296875
0.9999951124191284,0.0,0.3046875
0.9999949932098389,0.0,0.3078125
0.9999947547912598,0.0,0.3203125
0.9999945163726807,0.0,0.3234375
0.9999943971633911,0.0,0.3296875
0.9999938011169434,0.0,0.3359375
0.9999936819076538,0.0,0.3453125
0.9999933242797852,0.0,0.35
0.9999932050704956,0.0,0.353125
0.999993085861206,0.0,0.3578125
0.9999929666519165,0.0,0.3609375
0.999992847442627,0.0,0.3625
0.9999926090240479,0.0,0.365625
0.9999922513961792,0.0,0.36875
0.9999920129776001,0.0,0.371875
0.9999918937683105,0.0,0.3734375
0.999991774559021,0.0,0.378125
0.9999912977218628,0.0,0.38125
0.9999910593032837,0.0,0.3859375
0.9999908208847046,0.0,0.3890625
0.999990701675415,0.0,0.390625
0.9999905824661255,0.0,0.3953125
0.9999903440475464,0.0,0.3984375
0.9999902248382568,0.0,0.4
0.9999901056289673,0.0,0.403125
0.9999899864196777,0.0,0.4046875
0.9999897480010986,0.0,0.4109375
0.9999892711639404,0.0,0.4203125
0.9999887943267822,0.0,0.4234375
0.9999885559082031,0.004219409282700422,0.4234375
0.9999879598617554,0.004219409282700422,0.428125
0.9999878406524658,0.004219409282700422,0.43125
0.9999860525131226,0.004219409282700422,0.44375
0.999985933303833,0.004219409282700422,0.446875
0.9999847412109375,0.004219409282700422,0.453125
0.9999842643737793,0.004219409282700422,0.4578125
0.9999839067459106,0.004219409282700422,0.4625
0.9999834299087524,0.004219409282700422,0.465625
0.9999817609786987,0.004219409282700422,0.4765625
0.9999815225601196,0.004219409282700422,0.4796875
0.9999808073043823,0.004219409282700422,0.4828125
0.9999805688858032,0.004219409282700422,0.4875
0.9999788999557495,0.004219409282700422,0.4984375
0.9999785423278809,0.004219409282700422,0.5015625
0.999977707862854,0.004219409282700422,0.5046875
0.9999773502349854,0.004219409282700422,0.5078125
0.9999740123748779,0.004219409282700422,0.5234375
0.9999735355377197,0.004219409282700422,0.5265625
0.9999713897705078,0.004219409282700422,0.534375
0.9999711513519287,0.004219409282700422,0.5390625
0.9999686479568481,0.004219409282700422,0.546875
0.9999681711196899,0.004219409282700422,0.55
0.9999669790267944,0.004219409282700422,0.553125
0.9999666213989258,0.004219409282700422,0.55625
0.9999605417251587,0.004219409282700422,0.5765625
0.9999600648880005,0.004219409282700422,0.5796875
0.9999598264694214,0.004219409282700422,0.58125
0.9999597072601318,0.004219409282700422,0.584375
0.9999521970748901,0.004219409282700422,0.6015625
0.9999520778656006,0.004219409282700422,0.6046875
0.9999512434005737,0.004219409282700422,0.6078125
0.9999511241912842,0.004219409282700422,0.6109375
0.9999500513076782,0.004219409282700422,0.6140625
0.9999492168426514,0.004219409282700422,0.6171875
0.9999386072158813,0.004219409282700422,0.64375
0.999937891960144,0.004219409282700422,0.646875
0.99992835521698,0.004219409282700422,0.6515625
0.9999257326126099,0.004219409282700422,0.6546875
0.9999072551727295,0.004219409282700422,0.6703125
0.9999064207077026,0.004219409282700422,0.6734375
0.9996312856674194,0.004219409282700422,0.8125
0.999626874923706,0.004219409282700422,0.815625
0.998363196849823,0.004219409282700422,0.8734375
0.9982255101203918,0.008438818565400843,0.8734375
0.9939935803413391,0.008438818565400843,0.9109375
0.9931740164756775,0.016877637130801686,0.9109375
0.9745343923568726,0.016877637130801686,0.94375
0.9720247983932495,0.02109704641350211,0.94375
0.9491169452667236,0.02109704641350211,0.953125
0.9488333463668823,0.02531645569620253,0.953125
0.9428260326385498,0.02531645569620253,0.95625
0.940213680267334,0.029535864978902954,0.95625
0.9380885362625122,0.029535864978902954,0.9578125
0.9380544424057007,0.03375527426160337,0.9578125
0.7045373916625977,0.03375527426160337,0.9765625
0.6779525279998779,0.0379746835443038,0.9765625
0.6460703611373901,0.0379746835443038,0.9796875
0.6378843784332275,0.04219409282700422,0.9796875
0.2740407884120941,0.04219409282700422,0.9890625
0.21600326895713806,0.05485232067510549,0.9890625
0.16502326726913452,0.05485232067510549,0.990625
0.01105068065226078,0.16033755274261605,0.990625
0.009480230510234833,0.16033755274261605,0.9921875
0.007561716251075268,0.16877637130801687,0.9921875
0.006217549555003643,0.16877637130801687,0.99375
0.0042077344842255116,0.18565400843881857,0.99375
0.004002279136329889,0.18565400843881857,0.9953125
0.0026099190581589937,0.2320675105485232,0.9953125
0.002432600362226367,0.2320675105485232,0.996875
0.0005117635009810328,0.3291139240506329,0.996875
0.0005035789217799902,0.3291139240506329,0.9984375
0.00011844163964269683,0.4472573839662447,0.9984375
0.00011415089829824865,0.4472573839662447,1.0
8.794649453136572e-10,1.0,1.0
