class,precision,recall,f1-score,support
Normal,0.7547770700636943,0.9957983193277311,0.8586956521739131,238.0
Pneumonia,0.9982300884955753,0.8798751950078003,0.9353233830845771,641.0
accuracy,0.9112627986348123,0.9112627986348123,0.9112627986348123,0.9112627986348123
macro avg,0.8765035792796347,0.9378367571677657,0.8970095176292451,879.0
weighted avg,0.9323122063718123,0.9112627986348123,0.9145754877981855,879.0
