epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc
1,0.36458226217349926,0.9206745839064648,0.5255767301905717,0.4396355353075171,0.8335091086253299,0.9039738804742063
2,0.2735768395775897,0.9061163234819313,0.7022734871280508,0.5478359908883826,0.9456197635590377,0.9194099409546002
3,0.25419966329981436,0.8867222945076458,0.7554329655633567,0.5763097949886105,0.9561575621772259,0.930870146198253
4,0.2441151521848381,0.9298972057047086,0.7771648278167836,0.5432801822323462,0.9641772749430729,0.9379134659057247
5,0.23858392786636914,0.9182477896197239,0.7840187228351722,0.5444191343963554,0.9687743717053311,0.9437521804669655
6,0.19505245633116935,0.8898338079452515,0.9085590103644267,0.7437357630979499,0.9885843868393321,0.994292936274413
7,0.17600205697091836,0.687675740154023,0.9448345035105316,0.8394077448747153,0.9948955302327354,0.9965902433565698
8,0.1666444274483218,0.5747071034815968,0.9660648612504179,0.9384965831435079,0.9970402682470682,0.9970970990738364
9,0.16987730817267108,0.6852227186016179,0.9642260113674357,0.8758542141230068,0.9960628570208563,0.9957410954666036
10,0.16192256427855445,0.6077028955576903,0.9737545971247075,0.907744874715262,0.9977135239441718,0.9981832184679793
11,0.16224959917149787,0.6525057467349841,0.9764292878635907,0.8861047835990888,0.9978083140539418,0.9936807598886234
12,0.16002710688696065,0.5781476333363996,0.9760949515212304,0.9407744874715261,0.9986920529782817,0.9956950176741246
13,0.15712131915065367,0.5588652957273236,0.9811099966566366,0.9453302961275627,0.9987698524079984,0.9970049434888788
14,0.1535406196816874,0.7242059623461921,0.9874623871614845,0.8735763097949886,0.9994478028982746,0.9909950828412883
15,0.156449260539492,0.5513110251796001,0.9812771648278168,0.9555808656036446,0.9990304134290758,0.9942600235654997
16,0.15190504276106806,0.5212492462171238,0.9893012370444667,0.9874715261958997,0.9996221809303985,0.9881975025836477
17,0.15280663539676992,0.5272524861920125,0.9889669007021064,0.9806378132118451,0.9995117415100534,0.993667594805058
18,0.14908089354978044,0.6543529765481014,0.9919759277833501,0.9202733485193622,0.9998749172961882,0.9893626124791827
19,0.14893217037569834,0.543499130865979,0.9926446004680709,0.969248291571754,0.9998174619702191,0.9967679719847021
20,0.14763387415429813,0.5319926230945456,0.9958207957204949,0.979498861047836,0.9999461216593054,0.9831223628691983
21,0.1468718724878924,0.5625230192051933,0.9963223002340355,0.9601366742596811,0.9999714958985952,0.9936544297214926
22,0.14715213542078617,0.5720899646808998,0.9971581410899365,0.9612756264236902,0.9999849095933738,0.9950499285794216
23,0.1460073618526564,0.5304844523345148,0.9971581410899365,0.9806378132118451,0.9999642301472567,0.9933647978830545
24,0.14538273200846086,0.5291625718864058,0.9988298228017386,0.9806378132118451,0.9999963112339358,0.9892243791017464
25,0.14559691498726757,0.5386328543780333,0.9986626546305584,0.9760820045558086,0.9999968701378849,0.9893099521449212
26,0.14569268049065065,0.5364111166337084,0.9989969909729187,0.979498861047836,0.9999972054802544,0.9921536101950408
27,0.1450039782688714,0.5431817483521811,0.9986626546305584,0.9749430523917996,0.9999953052068274,0.9929566802925281
28,0.1453671818919821,0.543267893356723,0.999164159144099,0.9760820045558086,0.9999986586305221,0.9933384677159239
29,0.14571809600285168,0.5446574886187334,0.999164159144099,0.9749430523917996,0.999999329315261,0.9937334202228848
30,0.14662857730326467,0.5443636928441041,0.9986626546305584,0.9726651480637813,0.9999961994531461,0.9938848186838866
